filename, language, Python, Markdown, comment, blank, total
README.md, Markdown, 0, 1, 0, 1, 2
ganglion\examples\bar_learning.py, Python, 127, 0, 5, 30, 162
ganglion\examples\neural_network.py, Python, 72, 0, 3, 16, 91
ganglion\examples\neuron.py, Python, 74, 0, 3, 14, 91
ganglion\examples\rl_2choice.py, Python, 87, 0, 14, 28, 129
ganglion\examples\run_tests.py, Python, 84, 0, 3, 30, 117
ganglion\examples\stdp.py, Python, 86, 0, 17, 24, 127
ganglion\experimental\conv_layers.py, Python, 107, 0, 31, 42, 180
ganglion\experimental\digit_classification.py, Python, 167, 0, 28, 49, 244
ganglion\experimental\dynamics.py, Python, 19, 0, 0, 5, 24
ganglion\experimental\iris.py, Python, 121, 0, 9, 34, 164
ganglion\experimental\mnist_classification.py, Python, 153, 0, 36, 48, 237
ganglion\experimental\openai.py, Python, 13, 0, 1, 4, 18
ganglion\experimental\rl1.py, Python, 197, 0, 71, 76, 344
ganglion\vectorized\NeuralGroup.py, Python, 213, 0, 157, 92, 462
ganglion\vectorized\NeuralNetwork.py, Python, 157, 0, 55, 45, 257
ganglion\vectorized\SynapticGroup.py, Python, 204, 0, 130, 86, 420
ganglion\vectorized\parameters.py, Python, 93, 0, 28, 34, 155
ganglion\vectorized\timekeeper.py, Python, 19, 0, 0, 8, 27
ganglion\vectorized\units.py, Python, 21, 0, 7, 8, 36
ganglion\vectorized\utils.py, Python, 22, 0, 26, 14, 62
Total, -, 2036, 1, 624, 688, 3349
